***********************************************************
[INFO] TRAINING ON RANDOM INSTANCES: TSPTW
[INFO] n_city: 20
[INFO] grid_size: 100
[INFO] max_tw_gap: 10
[INFO] max_tw_size: 100
***********************************************************
[INFO] TRAINING PARAMETERS
[INFO] Algorithm: PPO
[INFO] learning rate: 0.000100
[INFO] eps_clip: 0.100000
[INFO] entropy_value: 0.001000
[INFO] hidden_layer: 4
[INFO] k_epochs: 3
[INFO] batch_size: 64
[INFO] update_timestep: 2048
[INFO] latent_dim: 128
***********************************************************
***********************************************************
[INFO] NUMBER OF FEATURES
[INFO] n_node_feat: 6
[INFO] n_edge_feat: 5
***********************************************************
[INFO] iter time avg_reward_learning
[DATA] 0 4.46 0.8077150508476645
[DATA] 10 8.68 0.8105934092615077
[DATA] 20 13.17 0.8587199522104731
[DATA] 30 17.71 0.865871487532448
[DATA] 40 22.18 0.8425828337643375
[DATA] 50 26.27 0.8040657141387804
[DATA] 60 30.74 0.8689932121158092
[DATA] 70 34.83 0.7513222392405293
[DATA] 80 39.11 0.8196877713141799
[DATA] 90 43.22 0.7820670584696023
[DATA] 100 47.26 0.7625561183318189
[DATA] 200 54.84 0.7698647178143303
[DATA] 300 62.25 0.7425546982969367
[DATA] 400 69.85 0.8182032630870996
[DATA] 500 77.5 0.8065774758259976
[DATA] 600 91.64 0.8775826601599606
[DATA] 700 99.2 0.8733150074408226
[DATA] 800 106.69 0.8882704416871802
[DATA] 900 113.91 0.85475500321347
[DATA] 1000 121.26 0.8627624769087183
[DATA] 1100 135.6 0.9671106566456712
[DATA] 1200 143.52 0.9469680730213483
[DATA] 1300 151.51 0.9385236070482589
[DATA] 1400 159.69 0.9625100334546915
[DATA] 1500 167.74 0.9561902800306514
[DATA] 1600 183.13 1.0887862535040602
[DATA] 1700 192.57 1.1254528040287841
[DATA] 1800 201.6 1.0924904491449836
[DATA] 1900 210.53 1.1095987276022585
[DATA] 2000 226.45 1.1791495477992007
[DATA] 2100 236.19 1.1324527850573285
[DATA] 2200 246.03 1.1690809158192845
[DATA] 2300 255.86 1.2112588987881883
[DATA] 2400 272.58 1.3220548031859158
[DATA] 2500 283.31 1.2650692314151333
[DATA] 2600 293.82 1.2779718594709346
[DATA] 2700 304.28 1.2755911839396754
[DATA] 2800 323.11 1.4672613692285466
[DATA] 2900 335.76 1.586232454854566
[DATA] 3000 348.13 1.474419743091079
[DATA] 3100 368.25 1.7148316122346199
[DATA] 3200 382.2 1.74059023162535
[DATA] 3300 396.05 1.6766285101489036
[DATA] 3400 418.49 1.968843722475311
[DATA] 3500 433.72 1.7785674260518392
[DATA] 3600 457.46 2.2141174665064742
[DATA] 3700 474.65 2.145220848498722
[DATA] 3800 499.88 2.4357912742171153
[DATA] 3900 519.08 2.3600887075622667
[DATA] 4000 545.91 2.4696950968966678
[DATA] 4100 565.81 2.473373050458699
[DATA] 4200 594.23 2.79487924428597
[DATA] 4300 616.39 2.824873701119378
[DATA] 4400 646.74 3.0173273661872924
[DATA] 4500 678.09 3.192003976604853
[DATA] 4600 703.94 3.234345184339844
[DATA] 4700 736.96 3.3338815313234624
[DATA] 4800 771.3 3.460872548539937
[DATA] 4900 805.85 3.694685077491233
[DATA] 5000 834.69 3.6814955605579227
[DATA] 5100 871.14 3.78734160054718
[DATA] 5200 908.68 3.9686667863192993
[DATA] 5300 946.6 4.0094661682920645
[DATA] 5400 984.95 4.056205167318653
[DATA] 5500 1023.38 4.107206033823827
[DATA] 5600 1055.74 4.154307522728892
[DATA] 5700 1095.0 4.193607195238352
[DATA] 5800 1134.93 4.291933565305083
[DATA] 5900 1174.62 4.241984804861237
[DATA] 6000 1214.62 4.4012085761227455
[DATA] 6100 1254.76 4.419495472900663
[DATA] 6200 1295.13 4.4538491749060025
[DATA] 6300 1335.49 4.491005250594464
[DATA] 6400 1373.66 3.8346210500715836
[DATA] 6500 1403.96 3.828805562477774
[DATA] 6600 1442.1 4.011519601608075
[DATA] 6700 1480.83 4.184101062035019
[DATA] 6800 1520.19 4.186466962585954
[DATA] 6900 1559.65 4.267262480339429
[DATA] 7000 1599.3 4.29856540519855
[DATA] 7100 1639.42 4.4162947363923015
[DATA] 7200 1679.6 4.44496344916373
[DATA] 7300 1719.97 4.494138781046106
[DATA] 7400 1761.04 4.472771636028151
[DATA] 7500 1795.22 4.481556425874297
[DATA] 7600 1835.88 4.476650463577952
[DATA] 7700 1876.02 4.349590734347833
[DATA] 7800 1916.48 4.510760306614808
[DATA] 7900 1957.12 4.511623455523381
[DATA] 8000 1997.78 4.536670999496229
[DATA] 8100 2038.53 4.5179392907987594
[DATA] 8200 2079.12 4.502210911144669
[DATA] 8300 2119.59 4.495434637623143
[DATA] 8400 2160.2 4.548859934070071
[DATA] 8500 2200.92 4.5542757925741135
[DATA] 8600 2241.66 4.552825932101081
[DATA] 8700 2275.87 4.562370132304979
[DATA] 8800 2316.56 4.551860707681613
[DATA] 8900 2358.24 4.550655157440044
[DATA] 9000 2389.54 3.0483914438784963
[DATA] 9100 2419.66 3.047035721080681
[DATA] 9200 2443.55 3.046356021579506
[DATA] 9300 2474.47 3.1141869904699275
[DATA] 9400 2505.75 3.2284802083177833
[DATA] 9500 2530.99 3.2352561252282466
[DATA] 9600 2563.32 3.342143534916129
[DATA] 9700 2596.59 3.458961565778939
[DATA] 9800 2623.56 3.4595698720460457
[DATA] 9900 2657.32 3.4571319674414855
[DATA] 10000 2691.53 3.5828119225753396
[DATA] 10100 2727.84 3.9422363169529087
[DATA] 10200 2766.43 4.341335974819249
[DATA] 10300 2799.96 4.3846390872659216
[DATA] 10400 2839.96 4.359263219540416
[DATA] 10500 2880.4 4.4556126100412365
[DATA] 10600 2920.81 4.480415116696012
[DATA] 10700 2961.78 4.533234894785109
[DATA] 10800 3002.34 4.509063043927432
[DATA] 10900 3042.78 4.5293246490131365
[DATA] 11000 3083.34 4.532827050411051
[DATA] 11100 3123.99 4.560483461131678
[DATA] 11200 3164.63 4.546239072643957
[DATA] 11300 3205.21 4.556585058050578
[DATA] 11400 3245.96 4.5462590186426555
[DATA] 11500 3280.09 4.558401328192589
[DATA] 11600 3320.81 4.54878038968844
[DATA] 11700 3361.51 4.582612522304131
[DATA] 11800 3402.35 4.5836193922255
[DATA] 11900 3443.2 4.589237736256291
[DATA] 12000 3483.89 4.562460558970377
[DATA] 12100 3524.57 4.582104438120898
[DATA] 12200 3565.74 4.559464385611558
[DATA] 12300 3606.42 4.568260170143135
[DATA] 12400 3647.16 4.587221012575683
[DATA] 12500 3687.91 4.599215034260609
[DATA] 12600 3728.62 4.57728176494493
[DATA] 12700 3769.29 4.589497485247873
[DATA] 12800 3803.72 4.615716571248914
[DATA] 12900 3844.45 4.564005854946803
[DATA] 13000 3885.2 4.5734308003319954
[DATA] 13100 3925.95 4.552137813235863
[DATA] 13200 3966.55 4.540107890090731
[DATA] 13300 4007.27 4.584050859094393
[DATA] 13400 4048.09 4.568317315691844
[DATA] 13500 4088.78 4.597932806243548
[DATA] 13600 4129.5 4.5950623061944915
[DATA] 13700 4169.06 4.045232563957574
[DATA] 13800 4208.26 4.399812223180993
[DATA] 13900 4248.62 4.511197959227905
[DATA] 14000 4282.7 4.533009599605293
[DATA] 14100 4323.24 4.549298728490566
[DATA] 14200 4364.0 4.573520100831455
[DATA] 14300 4404.92 4.578100166254786
[DATA] 14400 4445.73 4.585015640704253
[DATA] 14500 4486.57 4.58429508377568
[DATA] 14600 4527.32 4.5981126877137
[DATA] 14700 4567.92 4.611291351655669
[DATA] 14800 4608.46 4.586172242605318
[DATA] 14900 4648.83 4.529844905804076
[DATA] 15000 4689.11 4.5464976493188285
[DATA] 15100 4729.61 4.581935771171345
[DATA] 15200 4770.98 4.610872316755894
[DATA] 15300 4805.06 4.605969000264195
[DATA] 15400 4845.76 4.610827499191379
[DATA] 15500 4886.31 4.616122780907357
[DATA] 15600 4926.9 4.610512106550016
[DATA] 15700 4965.09 4.049131263452541
[DATA] 15800 5003.95 4.271789759293487
[DATA] 15900 5043.63 4.416224400284246
[DATA] 16000 5083.6 4.43101198152089
[DATA] 16100 5123.84 4.569426353466034
[DATA] 16200 5164.28 4.59304213168605
[DATA] 16300 5204.74 4.603588546122325
[DATA] 16400 5238.88 4.589458157677607
[DATA] 16500 5279.48 4.59820017812356
[DATA] 16600 5319.93 4.576624496625161
[DATA] 16700 5361.27 4.606045717131094
[DATA] 16800 5401.98 4.604318072251402
[DATA] 16900 5442.64 4.610112267291673
[DATA] 17000 5483.23 4.610093841870629
[DATA] 17100 5523.98 4.615006759549752
[DATA] 17200 5564.65 4.589976379074172
[DATA] 17300 5605.26 4.600935412726538
[DATA] 17400 5645.96 4.611407551889738
[DATA] 17500 5686.54 4.615526471019827
[DATA] 17600 5726.45 4.302781483473357
[DATA] 17700 5759.45 4.31225329900007
