***********************************************************
[INFO] TRAINING ON RANDOM INSTANCES: Portfolio
[INFO] n_items: 50
[INFO] lambda_1: 1
[INFO] lambda_2: 5
[INFO] lambda_3: 5
[INFO] lambda_4: 5
[INFO] capacity_ratio: 0.500000
[INFO] seed: 1
***********************************************************
[INFO] TRAINING PARAMETERS
[INFO] algorithm: DQN
[INFO] batch_size: 32
[INFO] learning_rate: 0.000010
[INFO] hidden_layer: 2
[INFO] latent_dim: 128
[INFO] softmax_beta: 10
[INFO] n_step: -1
***********************************************************
***********************************************************
[INFO] NUMBER OF FEATURES
[INFO] n_feat: 9
***********************************************************
[BEST-RANDOM] 765.1690343591529
[AVG-RANDOM] 450.13925186981646
[WORST-RANDOM] 76.3732670237635
[INFO] Memory Initialized
[INFO] iter time avg_reward_learning loss avg_max_probability beta
[DATA] 0 863.16 516.8052980248697 1.3735999999999997 0.58 0.0
[DATA] 10 902.61 568.6687032688874 0.6226999999999999 0.5063636 0.018
[DATA] 20 943.63 560.6245187099016 0.5946000000000001 0.5134318 0.038
[DATA] 30 983.22 564.6395302176857 0.6588999999999999 0.52049464 0.057999999999999996
[DATA] 40 1022.62 539.0923460971375 0.6355 0.52754927 0.078
[DATA] 50 1062.52 509.3598276982172 0.6250000000000001 0.53459287 0.098
[DATA] 60 1101.35 526.1022490531002 0.6151 0.559957846403122 0.118
[DATA] 70 1141.11 546.3749882972226 0.6916999999999998 0.5486361 0.138
[DATA] 80 1180.93 490.57596426651645 0.6807 0.6800537180900573 0.15800000000000003
[DATA] 90 1220.88 573.6006589544402 0.6416 0.5800981819629669 0.178
[DATA] 100 1259.1 545.660954792477 0.7017999999999999 0.6039857602119446 0.198
[DATA] 200 1492.15 555.277396804922 0.6699 0.7096906721591949 0.398
[DATA] 300 1720.26 498.8186874265239 0.6168999999999999 0.7897650027275085 0.598
[DATA] 400 1940.4 504.32778965271973 0.6168 0.8191216325759888 0.7979999999999999
[DATA] 500 2164.92 523.165356967636 0.6872000000000001 0.8627890169620513 0.998
[DATA] 600 2390.82 498.5378906371736 0.6258 0.8975543558597565 1.198
[DATA] 700 2608.08 514.2539294275579 0.6177000000000002 0.9245884966850281 1.3980000000000001
[DATA] 800 2831.84 493.5333917565378 0.5718 0.9300716400146485 1.5979999999999999
[DATA] 900 3060.53 493.72440871826274 0.5754999999999999 0.9562512052059173 1.7979999999999998
[DATA] 1000 3282.35 520.3656088858098 0.5456 0.9597113692760467 1.998
[DATA] 1100 3522.6 507.42066132633585 0.558 0.9700677156448364 2.198
[DATA] 1200 3743.57 515.9529019582093 0.5595 0.9765503561496734 2.398
[DATA] 1300 3967.81 513.6969835190899 0.5456000000000001 0.9831742286682129 2.598
[DATA] 1400 4188.73 511.7303866370195 0.5153 0.989117910861969 2.798
[DATA] 1500 4410.59 503.42089018924764 0.5143 0.9906243157386779 2.998
[DATA] 1600 4644.64 497.24710238841624 0.49549999999999983 0.9920498347282409 3.1979999999999995
[DATA] 1700 4864.12 501.065367639636 0.4937 0.9939925348758698 3.3979999999999997
[DATA] 1800 5087.02 493.12677059342104 0.4674999999999999 0.9957087004184723 3.598
[DATA] 1900 5310.26 506.1787304851664 0.44369999999999993 0.9976864457130432 3.798
[DATA] 2000 5531.49 488.66335999560573 0.45759999999999995 0.997556220293045 3.9979999999999998
[DATA] 2100 5758.79 491.24874386274246 0.4343 0.9981039977073669 4.198
[DATA] 2200 5982.89 492.9521679777109 0.4056 0.9987290573120117 4.398000000000001
