***********************************************************
[INFO] TRAINING ON RANDOM INSTANCES: TSPTW
[INFO] n_city: 100
[INFO] grid_size: 100
[INFO] max_tw_gap: 10
[INFO] max_tw_size: 100
***********************************************************
[INFO] TRAINING PARAMETERS
[INFO] Algorithm: PPO
[INFO] learning rate: 0.000100
[INFO] eps_clip: 0.100000
[INFO] entropy_value: 0.001000
[INFO] hidden_layer: 4
[INFO] k_epochs: 3
[INFO] batch_size: 64
[INFO] update_timestep: 2048
[INFO] latent_dim: 128
***********************************************************
***********************************************************
[INFO] NUMBER OF FEATURES
[INFO] n_node_feat: 6
[INFO] n_edge_feat: 5
***********************************************************
[INFO] iter time avg_reward_learning
[DATA] 0 21.44 1.1944481900807442
[DATA] 10 43.22 1.1360029579253712
[DATA] 20 65.36 1.1570858924173504
[DATA] 30 88.58 1.2195816164585627
[DATA] 40 111.31 1.1878505619518198
[DATA] 50 135.01 1.243923902820638
[DATA] 60 157.28 1.1600670791466177
[DATA] 70 180.72 1.227900064459964
[DATA] 80 203.48 1.177857261178467
[DATA] 90 226.76 1.2394695862925738
[DATA] 100 248.12 1.1123124003530271
[DATA] 200 296.25 1.189976028847746
[DATA] 300 341.55 1.2523034021258455
[DATA] 400 466.12 1.119808418882616
[DATA] 500 511.19 1.2384581983976273
[DATA] 600 556.82 1.1996370237893406
[DATA] 700 600.42 1.1075854109991352
[DATA] 800 727.83 1.328682861850672
[DATA] 900 774.8 1.2747470724811203
[DATA] 1000 822.7 1.3480938905457993
[DATA] 1100 871.75 1.3146427360983959
[DATA] 1200 1001.89 1.4060130955646981
[DATA] 1300 1051.19 1.3429636438917942
[DATA] 1400 1101.37 1.4167533998638049
[DATA] 1500 1235.74 1.5725514660627147
[DATA] 1600 1292.85 1.5994098876960907
[DATA] 1700 1351.19 1.6413931654333205
[DATA] 1800 1491.3 1.7028570682775868
[DATA] 1900 1551.19 1.7133398391183667
[DATA] 2000 1698.13 1.938370928769221
[DATA] 2100 1761.73 1.8448464421073876
[DATA] 2200 1825.47 1.8297859985417415
[DATA] 2300 1975.71 2.0010312127345316
[DATA] 2400 2042.57 2.001338487342238
[DATA] 2500 2199.9 2.411918878474229
[DATA] 2600 2281.27 2.47650605436949
[DATA] 2700 2452.02 2.857173959856739
[DATA] 2800 2542.6 2.6943930826675184
[DATA] 2900 2722.24 3.11204566189959
[DATA] 3000 2914.73 3.6567666843618785
[DATA] 3100 3117.2 4.159355742309553
[DATA] 3200 3247.03 4.291440792504333
[DATA] 3300 3469.71 4.48201536390861
[DATA] 3400 3797.33 5.5105188916303485
[DATA] 3500 4059.17 6.343350514965778
[DATA] 3600 4327.63 6.286664056711467
[DATA] 3700 4709.6 7.709049415076672
[DATA] 3800 5033.72 8.336478016491359
[DATA] 3900 5458.41 9.023603575600346
[DATA] 4000 5903.07 9.824266803774332
[DATA] 4100 6350.56 9.838963633043818
[DATA] 4200 6819.28 10.584024888628749
[DATA] 4300 7375.23 10.569352208615637
[DATA] 4400 7864.85 11.71521056631392
[DATA] 4500 8475.94 13.809812284996957
[DATA] 4600 9107.63 14.069839883312738
[DATA] 4700 9764.34 15.361233761812427
[DATA] 4800 10472.79 17.288827344160556
[DATA] 4900 11001.77 7.399451546573584
[DATA] 5000 11367.93 7.754029410674977
[DATA] 5100 11656.87 7.737157511595749
[DATA] 5200 12034.39 8.114812112353746
[DATA] 5300 12337.94 8.2548850318682
[DATA] 5400 12726.03 8.451698105591815
[DATA] 5500 13118.75 8.735795367210741
[DATA] 5600 13515.47 8.650385876344885
[DATA] 5700 13833.66 8.818658802093397
[DATA] 5800 14237.02 9.162252775850742
[DATA] 5900 14639.36 9.194479208311028
[DATA] 6000 15052.65 9.608643455590476
[DATA] 6100 15481.14 10.239477053363983
[DATA] 6200 15915.39 10.24676660362031
[DATA] 6300 16354.86 10.52471820474625
[DATA] 6400 16806.72 10.953573136412452
[DATA] 6500 17403.19 13.643704364094674
[DATA] 6600 18008.47 13.524796158577947
[DATA] 6700 18448.19 8.804884628739503
[DATA] 6800 18845.95 9.018643902599436
[DATA] 6900 19249.18 9.179300718419604
[DATA] 7000 19660.96 9.5102555120512
[DATA] 7100 20078.32 9.583857308402878
[DATA] 7200 20424.23 9.95529152807933
[DATA] 7300 20948.78 10.868216152127404
[DATA] 7400 21413.53 11.286559020422814
[DATA] 7500 21895.39 12.104019301591823
[DATA] 7600 22478.72 12.990695632116967
[DATA] 7700 23081.1 13.571843859517287
[DATA] 7800 23614.76 13.659792993522183
[DATA] 7900 24237.74 14.174823752077305
[DATA] 8000 24873.92 14.595050563285987
[DATA] 8100 25637.43 16.97469735583755
[DATA] 8200 26364.54 17.991605866910103
[DATA] 8300 27174.21 18.075996821826692
[DATA] 8400 27992.59 18.52477323381102
[DATA] 8500 28824.86 18.875439633260317
[DATA] 8600 29474.17 14.30334695042962
[DATA] 8700 30074.08 13.61540298926484
[DATA] 8800 30685.59 14.088444835098892
[DATA] 8900 31316.27 14.87193680833755
[DATA] 9000 31950.5 14.86890916443778
[DATA] 9100 32608.46 15.925258998154675
[DATA] 9200 33299.33 16.829991107729526
[DATA] 9300 33661.21 7.07156538068837
[DATA] 9400 33930.9 7.138156758794443
[DATA] 9500 34279.91 7.159722451385887
[DATA] 9600 34552.33 7.240169606181173
[DATA] 9700 34824.98 7.239199986803458
[DATA] 9800 35179.7 7.376748587882885
[DATA] 9900 35455.39 7.3476811874837304
[DATA] 10000 35809.45 7.402214295557852
[DATA] 10100 36090.45 7.477107078770141
[DATA] 10200 36454.1 7.685086585397893
[DATA] 10300 36741.15 7.65361670572826
[DATA] 10400 37109.51 7.835494864857586
[DATA] 10500 37401.07 7.843944985256325
[DATA] 10600 37768.16 7.774333744507418
[DATA] 10700 38136.31 7.844638041344632
[DATA] 10800 38428.69 8.01743717744862
[DATA] 10900 38803.19 8.10269995154497
[DATA] 11000 39098.98 8.093974608026581
[DATA] 11100 39476.05 8.295343841681337
[DATA] 11200 39858.57 8.504536533980918
[DATA] 11300 40167.75 8.683851656104814
[DATA] 11400 40559.49 8.829259215416146
[DATA] 11500 40952.18 8.850917696842416
[DATA] 11600 41350.41 9.038681760783048
[DATA] 11700 41675.77 9.26558904995759
[DATA] 11800 42088.98 9.457562061942618
[DATA] 11900 42503.34 9.670020595425916
[DATA] 12000 42929.83 10.027980705863802
[DATA] 12100 43364.73 10.333934185190984
[DATA] 12200 43811.58 10.69242104215461
[DATA] 12300 44352.26 11.601638929926315
[DATA] 12400 44827.16 11.695310395831994
[DATA] 12500 45311.31 12.14285860253523
[DATA] 12600 45884.78 12.593546082768448
[DATA] 12700 46441.05 11.408033786984243
[DATA] 12800 46916.49 11.808913722123371
[DATA] 12900 47408.69 12.408300065498015
[DATA] 13000 47985.81 12.776861971243987
[DATA] 13100 48579.05 13.36146196060952
[DATA] 13200 49107.94 13.699778187373822
[DATA] 13300 49742.56 14.870095041857052
[DATA] 13400 50323.81 12.184356502965949
[DATA] 13500 50901.83 12.744509139932687
[DATA] 13600 51422.06 13.164333788169019
[DATA] 13700 52026.96 13.561763721196478
[DATA] 13800 52638.52 13.804556856050642
[DATA] 13900 53257.65 13.923888576152251
[DATA] 14000 53885.53 14.450124749425747
[DATA] 14100 54522.29 14.534900533548926
[DATA] 14200 55158.23 14.725225830554274
[DATA] 14300 55804.45 15.162890288814394
[DATA] 14400 56462.99 15.55706190262221
[DATA] 14500 57029.34 10.205122229706772
[DATA] 14600 57464.93 10.314865283247304
[DATA] 14700 57908.78 10.706823852916536
[DATA] 14800 58372.42 11.41836411288776
[DATA] 14900 58917.47 11.519391647206824
[DATA] 15000 59396.33 12.103050940258688
[DATA] 15100 59895.79 12.733763743052648
[DATA] 15200 60472.01 12.515690650615504
[DATA] 15300 61057.38 12.98855093350909
[DATA] 15400 61569.04 13.200304496124007
[DATA] 15500 62165.86 13.29360927652317
[DATA] 15600 62762.3 13.173022750374935
[DATA] 15700 63369.0 13.856499554762003
[DATA] 15800 63909.91 14.13520599494424
[DATA] 15900 64548.64 15.005982252856306
[DATA] 16000 65295.97 16.15524910349777
[DATA] 16100 65966.66 15.625268663794408
[DATA] 16200 66642.42 16.025446896084688
[DATA] 16300 67418.05 17.043927758673
[DATA] 16400 68136.72 17.58413482468218
[DATA] 16500 68949.33 18.28656321381451
[DATA] 16600 69786.63 19.230039590864507
[DATA] 16700 70637.96 19.383680993484067
[DATA] 16800 71271.8 13.805168412758544
[DATA] 16900 71880.21 13.6051655885845
[DATA] 17000 72323.82 10.576650014261139
[DATA] 17100 72846.03 10.817604726305602
[DATA] 17200 73295.46 10.947856348339307
[DATA] 17300 73750.56 11.256228209067064
[DATA] 17400 74214.56 11.534534352383197
[DATA] 17500 74766.23 11.889965692072233
[DATA] 17600 75247.85 12.076371484659392
[DATA] 17700 75737.32 12.429186985343838
[DATA] 17800 76315.82 12.865360563555654
[DATA] 17900 76903.23 13.28151455620979
[DATA] 18000 77426.41 13.691892765366582
[DATA] 18100 78037.75 13.974922740274922
[DATA] 18200 78653.62 13.950938781267526
[DATA] 18300 79289.14 15.05089792036078
[DATA] 18400 79947.26 15.86014419722076
[DATA] 18500 80629.25 16.629917118395845
[DATA] 18600 81439.26 18.206497240261953
[DATA] 18700 82268.83 18.781197639051822
[DATA] 18800 83114.88 19.459852205510902
[DATA] 18900 83789.4 15.865784717948323
[DATA] 19000 84560.13 16.502586317472424
[DATA] 19100 85263.0 16.825709505844074
[DATA] 19200 86059.41 17.316400597047085
[DATA] 19300 86776.56 17.04297678367044
[DATA] 19400 87587.3 17.844621935503756
[DATA] 19500 88413.37 18.446165049141584
[DATA] 19600 89247.87 18.533804114913615
[DATA] 19700 90012.29 18.89877198413871
[DATA] 19800 90975.53 21.198205997577453
[DATA] 19900 91901.41 21.742630309183024
[DATA] 20000 92914.02 21.97550653796299
[DATA] 20100 93850.7 21.844350176636425
[DATA] 20200 94396.43 10.379754921130987
[DATA] 20300 94815.25 9.223339037563491
[DATA] 20400 95233.97 9.360997130240285
[DATA] 20500 95654.83 9.384451985942526
[DATA] 20600 96077.73 9.50175357203595
[DATA] 20700 96420.56 9.408494006690937
[DATA] 20800 96842.89 9.427112439796227
[DATA] 20900 97259.3 9.198904798050409
[DATA] 21000 97675.01 9.305549854384623
[DATA] 21100 98091.22 9.330818673662684
[DATA] 21200 98512.28 9.524498719060057
[DATA] 21300 98937.77 9.676566225877231
[DATA] 21400 99365.31 9.776861385409962
[DATA] 21500 99798.76 9.804094452071048
[DATA] 21600 100240.12 10.24439137103353
[DATA] 21700 100688.07 10.48118339471935
[DATA] 21800 101142.39 10.65169373085786
[DATA] 21900 101679.61 11.055142102070292
[DATA] 22000 102145.46 11.188603809366976
[DATA] 22100 102586.8 10.147464836610407
[DATA] 22200 103027.16 10.289716668146347
[DATA] 22300 103469.03 10.335017920387
[DATA] 22400 103910.2 10.39512569514258
[DATA] 22500 104357.81 10.508923663334047
[DATA] 22600 104810.81 10.493432673176246
[DATA] 22700 105357.27 11.407746713392774
[DATA] 22800 105837.95 11.667499227215645
[DATA] 22900 106319.68 11.642423003276768
[DATA] 23000 106882.86 11.892224610544144
[DATA] 23100 107376.87 12.194769856955052
[DATA] 23200 107961.62 12.44258680586832
[DATA] 23300 108468.52 12.491490368708442
[DATA] 23400 109057.5 12.600388013559769
[DATA] 23500 109659.42 13.308230907451485
[DATA] 23600 110192.67 13.426554008927042
[DATA] 23700 110820.31 14.096402271150193
[DATA] 23800 111465.86 14.888219196718271
[DATA] 23900 112132.34 15.292605176965822
[DATA] 24000 112819.82 16.250724709989257
[DATA] 24100 113609.31 17.089077986217283
[DATA] 24200 114327.43 17.138264990149384
[DATA] 24300 115129.3 17.417843045393557
[DATA] 24400 115957.6 18.468878852130654
[DATA] 24500 116796.68 18.577886860649823
[DATA] 24600 117515.17 16.92120461688991
[DATA] 24700 118310.9 16.950560422748243
[DATA] 24800 119123.32 17.799065163857623
[DATA] 24900 119869.43 18.345164643110305
[DATA] 25000 120703.71 18.325466685470463
[DATA] 25100 121554.14 18.89823871548795
[DATA] 25200 122418.15 19.528405121744782
[DATA] 25300 123385.93 20.27264841755247
[DATA] 25400 124277.56 20.409228822206586
[DATA] 25500 125179.33 20.781904430013274
[DATA] 25600 126174.45 21.36132161956077
[DATA] 25700 127098.57 21.507790076480617
[DATA] 25800 128103.14 21.549914197525908
[DATA] 25900 129045.23 21.94394307985276
[DATA] 26000 130064.96 22.234954909553036
[DATA] 26100 130864.88 14.311719519394744
[DATA] 26200 131502.53 14.374039307247989
[DATA] 26300 132147.46 14.776991946333613
[DATA] 26400 132808.06 15.110126160435348
[DATA] 26500 133554.83 15.392508049614689
[DATA] 26600 134234.29 16.03900373550026
[DATA] 26700 134946.51 17.257140817255827
[DATA] 26800 135760.86 17.801830800094244
[DATA] 26900 136587.89 18.11338552033946
[DATA] 27000 137236.3 13.096635986181365
[DATA] 27100 137856.33 14.364295812659465
[DATA] 27200 138441.0 12.575265597039675
[DATA] 27300 138941.11 12.658159257945293
[DATA] 27400 139525.78 12.941233177116441
[DATA] 27500 140120.14 13.325101435648492
[DATA] 27600 140614.88 12.38855352009488
[DATA] 27700 141201.25 13.366919863616063
[DATA] 27800 141785.57 12.826363104781437
[DATA] 27900 142301.64 13.35449543186154
[DATA] 28000 142900.49 13.605369132095218
[DATA] 28100 143509.66 13.812167294903313
[DATA] 28200 144113.97 13.645368209422172
[DATA] 28300 144636.67 13.56219589752338
[DATA] 28400 145243.56 13.598780065627716
[DATA] 28500 145872.36 13.838702010891485
[DATA] 28600 146571.2 14.29893658049069
[DATA] 28700 147283.75 15.143326763966861
[DATA] 28800 148033.09 15.850767780086203
[DATA] 28900 148791.15 16.278522517039654
[DATA] 29000 149622.26 16.807727447671404
[DATA] 29100 150409.96 17.495601565755674
[DATA] 29200 151314.15 18.132676864466635
[DATA] 29300 152208.43 18.177244673139324
[DATA] 29400 153097.72 18.7012524556128
[DATA] 29500 154030.57 19.345629442672294
[DATA] 29600 154951.37 19.518287736780206
[DATA] 29700 155880.81 20.190486596124924
[DATA] 29800 156824.26 20.035204374032816
[DATA] 29900 157867.79 20.60449861837523
[DATA] 30000 158830.47 20.909401672452915
[DATA] 30100 159768.11 19.915024336714513
[DATA] 30200 160690.87 19.845898268206444
[DATA] 30300 161722.43 20.244110789865246
[DATA] 30400 162690.79 20.641879629325885
[DATA] 30500 163658.77 21.120856198849786
[DATA] 30600 164720.18 21.360898665386056
[DATA] 30700 165778.66 21.608452212620204
[DATA] 30800 166777.57 21.84089261962028
[DATA] 30900 167876.69 22.31033947974714
[DATA] 31000 168979.67 22.511837184448662
[DATA] 31100 170004.7 22.562689870270386
[DATA] 31200 171082.16 22.550879205390586
[DATA] 31300 172182.88 22.431310120759907
[DATA] 31400 173277.34 22.383544424302944
[DATA] 31500 174319.61 22.444486094823556
[DATA] 31600 175451.01 22.606347517896538
[DATA] 31700 176573.6 22.68474105070152
[DATA] 31800 177677.03 22.635104153698165
[DATA] 31900 178683.14 22.660256796689023
[DATA] 32000 179775.99 22.590836919563557
[DATA] 32100 180860.94 22.50467855500468
[DATA] 32200 181851.05 21.501855325368414
[DATA] 32300 182927.53 21.48565609814302
[DATA] 32400 184012.29 21.91565301280714
[DATA] 32500 185006.13 22.205878913029736
[DATA] 32600 186109.32 22.437991803500918
[DATA] 32700 187211.64 22.49748639041236
[DATA] 32800 188233.51 22.47264931940914
[DATA] 32900 189315.61 22.47624282954786
[DATA] 33000 190406.34 22.488524634232803
[DATA] 33100 191516.42 22.54436841535764
[DATA] 33200 192538.14 22.54219533746686
[DATA] 33300 193623.71 22.255314493543356
[DATA] 33400 194743.41 22.582913414572577
[DATA] 33500 195843.68 22.698064446247066
[DATA] 33600 196860.91 22.647768904760774
[DATA] 33700 197968.47 22.665386425220206
[DATA] 33800 199064.29 22.70502091614559
[DATA] 33900 200180.99 22.73624216796913
[DATA] 34000 201308.62 22.827675782444253
[DATA] 34100 202332.45 22.80542718102806
[DATA] 34200 203422.09 22.699526081883633
[DATA] 34300 204535.49 22.744542974614248
[DATA] 34400 205667.05 22.614610761789287
[DATA] 34500 206752.37 22.712174369454807
[DATA] 34600 207760.23 22.187617659659438
[DATA] 34700 208888.81 22.670358444606617
[DATA] 34800 209977.8 22.13132628036038
[DATA] 34900 211014.01 22.567617262341596
[DATA] 35000 212111.88 22.678205934559806
[DATA] 35100 213202.49 22.541055572398285
[DATA] 35200 214295.72 22.656363693150993
[DATA] 35300 215388.32 22.462462498329227
[DATA] 35400 216400.88 22.700311960848516
[DATA] 35500 217433.14 22.832433723652084
[DATA] 35600 218452.89 22.780194268398006
[DATA] 35700 219473.45 22.889280236378827
[DATA] 35800 220495.98 22.832352338900172
[DATA] 35900 221438.62 22.75938447746752
[DATA] 36000 222455.6 22.49360375762685
[DATA] 36100 223473.57 22.65570975842322
[DATA] 36200 224491.36 22.6946515965338
[DATA] 36300 225431.75 22.62770610758051
[DATA] 36400 226450.52 22.73776623210637
[DATA] 36500 227471.2 22.69188057038484
[DATA] 36600 228492.6 22.844975194663462
[DATA] 36700 229515.16 22.891864519266946
[DATA] 36800 230460.0 22.840958442257698
[DATA] 36900 231482.24 22.81690032074257
[DATA] 37000 232506.96 22.867674162367933
[DATA] 37100 233529.6 22.852623480569683
[DATA] 37200 234550.82 22.840390298749593
[DATA] 37300 235496.14 22.86710582518145
[DATA] 37400 236518.0 22.896121460819455
[DATA] 37500 237538.03 22.80352403378788
[DATA] 37600 238567.5 22.896060448826788
[DATA] 37700 239596.1 22.905853088868263
[DATA] 37800 240547.83 22.872426004958733
[DATA] 37900 241572.87 22.92247401927722
[DATA] 38000 242593.55 22.85396484215978
[DATA] 38100 243614.75 22.866598960027005
[DATA] 38200 244634.13 22.86545366459801
[DATA] 38300 245565.9 21.917872941295172
[DATA] 38400 246592.62 22.888487770645373
[DATA] 38500 247622.37 22.894260393730534
[DATA] 38600 248651.16 22.8697853730032
[DATA] 38700 249681.07 22.927405603953538
[DATA] 38800 250629.35 22.859413400350117
[DATA] 38900 251641.76 22.085546475541925
[DATA] 39000 252663.76 22.953777929453455
[DATA] 39100 253685.33 22.93966596059066
[DATA] 39200 254707.03 22.921442260412444
[DATA] 39300 255652.3 22.878842725430754
[DATA] 39400 256679.19 22.921591926403213
[DATA] 39500 257707.74 22.747079816595296
[DATA] 39600 258732.51 22.53573235529073
[DATA] 39700 259753.7 22.738698138524995
[DATA] 39800 260694.56 22.49110371196358
[DATA] 39900 261709.07 22.523323386749993
[DATA] 40000 262728.24 22.622123119840374
[DATA] 40100 263748.23 22.633482539076244
[DATA] 40200 264689.92 22.610229389397
[DATA] 40300 265708.24 22.705417462556667
[DATA] 40400 266729.44 22.885421704097194
[DATA] 40500 267730.51 21.797930195411308
[DATA] 40600 268654.15 22.082108328015316
[DATA] 40700 269666.27 22.369310737778093
[DATA] 40800 270682.71 22.595140995966794
[DATA] 40900 271704.65 22.74010917349698
[DATA] 41000 272650.83 22.900141848446992
[DATA] 41100 273676.44 22.88894949877087
[DATA] 41200 274702.84 22.852526584972097
[DATA] 41300 275728.5 22.84515769938976
[DATA] 41400 276748.0 22.76533713401521
[DATA] 41500 277694.72 22.928533573573148
[DATA] 41600 278714.25 22.572280831799826
[DATA] 41700 279734.92 22.770992664414056
[DATA] 41800 280760.52 22.824851540742856
[DATA] 41900 281779.81 22.824207673578723
[DATA] 42000 282724.86 22.87648742299578
[DATA] 42100 283749.0 22.882566150542267
[DATA] 42200 284774.08 22.92910586776479
[DATA] 42300 285796.7 22.89116712501943
[DATA] 42400 286816.72 22.84102730997446
[DATA] 42500 287839.25 22.86038516184054
[DATA] 42600 288778.91 22.665728222602876
[DATA] 42700 289806.8 22.78041193772669
[DATA] 42800 290837.45 22.900685964561394
[DATA] 42900 291867.05 22.82663894954072
[DATA] 43000 292896.7 22.837524388457425
[DATA] 43100 293848.94 22.92820519009661
[DATA] 43200 294877.32 22.85528659578607
[DATA] 43300 295906.23 22.870947469930396
[DATA] 43400 296935.4 22.92322293468365
[DATA] 43500 297966.06 22.95399651256589
[DATA] 43600 298918.94 22.929693531254603
[DATA] 43700 299944.36 22.97032174610763
[DATA] 43800 300968.1 22.88767009239325
[DATA] 43900 301991.66 22.859488886344533
[DATA] 44000 303014.73 22.904467935283474
[DATA] 44100 303962.84 22.911149080081646
[DATA] 44200 304985.36 22.895930391270475
[DATA] 44300 306005.01 22.82013057091988
[DATA] 44400 307026.96 22.744897477427973
[DATA] 44500 308050.53 22.925092161295762
[DATA] 44600 308997.68 23.006943362112903
[DATA] 44700 310022.32 22.95557357074516
[DATA] 44800 311047.33 23.013473973548347
[DATA] 44900 312075.35 22.99370035154696
[DATA] 45000 313102.3 22.97800214800326
[DATA] 45100 314127.0 22.93769662706554
[DATA] 45200 315071.49 22.951381529745152
[DATA] 45300 316094.68 23.02553895268826
[DATA] 45400 317044.81 18.272999705297888
[DATA] 45500 317828.26 16.98722410857297
[DATA] 45600 318534.13 17.256750649778613
[DATA] 45700 319315.62 17.019434447479213
[DATA] 45800 320025.95 17.256326120147456
[DATA] 45900 320829.95 17.831068915888437
[DATA] 46000 321642.36 18.19662670163123
[DATA] 46100 322475.58 18.902289130064947
[DATA] 46200 323317.07 19.20936974278042
[DATA] 46300 324170.09 19.747910426809423
[DATA] 46400 325026.27 19.639272740093666
[DATA] 46500 325900.15 20.42412472363543
[DATA] 46600 326878.91 21.307334867814774
[DATA] 46700 327787.41 21.45288032473367
[DATA] 46800 328782.26 21.896435967741855
[DATA] 46900 329713.85 22.326661124874853
[DATA] 47000 330733.33 22.81537451654601
[DATA] 47100 331753.17 22.80929206196035
[DATA] 47200 332774.26 22.903165478084215
[DATA] 47300 333796.14 22.983436599393528
[DATA] 47400 334741.64 22.91718169975344
[DATA] 47500 335763.83 23.0128033173669
[DATA] 47600 336785.87 23.0381471330912
[DATA] 47700 337815.15 22.9857058826421
[DATA] 47800 338845.16 22.95833733425348
[DATA] 47900 339798.45 23.01357429515994
[DATA] 48000 340829.54 23.020453244551767
[DATA] 48100 341860.89 23.006852623960004
[DATA] 48200 342885.6 22.782612591330153
[DATA] 48300 343899.23 22.332954011927814
[DATA] 48400 344843.49 22.934520230147882
[DATA] 48500 345865.5 22.958876162186037
[DATA] 48600 346896.75 23.008780960566632
[DATA] 48700 347927.89 22.971911854543947
[DATA] 48800 348953.72 23.024976053368444
[DATA] 48900 349976.58 22.966306461404198
[DATA] 49000 350920.83 22.93279024098396
[DATA] 49100 351943.44 22.988321401571962
[DATA] 49200 352966.78 23.022609969127984
[DATA] 49300 353989.53 23.016650639797998
[DATA] 49400 355011.64 23.023677385617034
[DATA] 49500 356035.37 23.02098725503739
[DATA] 49600 356981.54 22.96309497398468
[DATA] 49700 358004.69 23.01472803855246
[DATA] 49800 359027.93 23.016143862933124
[DATA] 49900 360050.95 22.956110842955095
[DATA] 50000 361074.17 23.009270150051066
[DATA] 50100 362019.25 22.927971728887016
[DATA] 50200 363022.58 21.980300443674665
[DATA] 50300 364023.68 22.035498622237732
[DATA] 50400 365037.99 22.74316823584578
[DATA] 50500 365982.53 22.90421476694936
[DATA] 50600 367007.0 22.91037588458154
[DATA] 50700 368031.39 22.97307961876796
[DATA] 50800 369054.04 22.959089071182163
[DATA] 50900 370075.11 22.941846543885767
[DATA] 51000 371020.76 22.9807904249587
[DATA] 51100 372041.98 22.8896380793611
[DATA] 51200 373063.64 22.954032075189197
[DATA] 51300 374085.66 22.9083697968597
[DATA] 51400 375107.16 22.94062377491156
[DATA] 51500 376130.71 23.02036137391109
[DATA] 51600 377077.49 23.027423671233556
[DATA] 51700 378100.72 22.99233109727621
[DATA] 51800 379124.11 22.94675359708488
[DATA] 51900 380146.49 23.004176387561532
[DATA] 52000 381167.96 23.017869223234264
[DATA] 52100 382114.1 23.048558412453676
[DATA] 52200 383137.7 23.055791606264663
[DATA] 52300 384160.05 22.994477474978495
[DATA] 52400 385182.09 22.92503998559473
[DATA] 52500 386204.04 23.030039060306404
[DATA] 52600 387225.03 22.864423016033758
[DATA] 52700 388170.9 22.973969118396727
[DATA] 52800 389197.3 23.008789784491256
[DATA] 52900 390223.17 23.049912011006818
[DATA] 53000 391248.26 23.03435544285699
[DATA] 53100 392271.04 22.98131347446153
[DATA] 53200 393293.17 22.982837620650056
[DATA] 53300 394238.37 23.03960321027461
[DATA] 53400 395261.23 23.04712752157468
[DATA] 53500 396291.48 22.95891854924865
[DATA] 53600 397315.91 23.024205230103767
[DATA] 53700 398341.54 23.024178846070562
[DATA] 53800 399291.27 23.05596531890048
[DATA] 53900 400316.62 23.03474484135062
[DATA] 54000 401340.18 22.858387108905028
[DATA] 54100 402365.37 23.001068858625473
[DATA] 54200 403390.05 23.03320910882097
[DATA] 54300 404412.12 22.9887321279495
[DATA] 54400 405357.25 22.976914870345333
[DATA] 54500 406380.68 22.97290560215085
[DATA] 54600 407402.05 22.93772240459355
[DATA] 54700 408426.1 23.000802368976533
[DATA] 54800 409472.45 23.03664030628126
[DATA] 54900 410512.25 22.98036522208585
[DATA] 55000 411462.2 22.99595109259113
[DATA] 55100 412541.36 23.040261595433662
[DATA] 55200 413644.38 23.044853626792325
[DATA] 55300 414734.61 23.033232653680567
[DATA] 55400 415822.45 23.055823822704394
[DATA] 55500 416847.94 23.066449131825337
[DATA] 55600 417943.6 23.048777643209792
[DATA] 55700 419035.23 23.027167934295967
[DATA] 55800 420089.15 23.013039884500564
[DATA] 55900 421194.8 23.05636832316246
