***********************************************************
[INFO] TRAINING ON RANDOM INSTANCES: Portfolio
[INFO] n_items: 50
[INFO] lambda_1: 1
[INFO] lambda_2: 5
[INFO] lambda_3: 5
[INFO] lambda_4: 5
[INFO] capacity_ratio: 0.500000
[INFO] seed: 1
***********************************************************
[INFO] TRAINING PARAMETERS
[INFO] algorithm: PPO
[INFO] learning_rate: 0.000100
[INFO] eps_clip: 0.100000
[INFO] entropy_value: 0.001000
[INFO] hidden_layer: 2
[INFO] k_epochs: 4
[INFO] batch_size: 32
[INFO] update_timestep: 2048
[INFO] latent_dim: 128
***********************************************************
***********************************************************
[INFO] NUMBER OF FEATURES
[INFO] n_feat: 9
***********************************************************
[BEST-RANDOM] 762.3018510310039
[AVG-RANDOM] 446.95772439857154
[WORST-RANDOM] 74.37891925171004
[GREEDY-MEAN] 906.0491209174195
[GREEDY-DEVIATION] 646.6167471826852
[GREEDY-SKEWNESS] 787.5564998668585
[GREEDY-KURTOSIS] 374.7550513407117
[INFO] iter time avg_reward_learning loss
[DATA] 0 20.6 478.85219444480396 None
[DATA] 10 44.55 493.19763873988524 None
[DATA] 20 68.34 491.01762100613735 None
[DATA] 30 91.9 511.003462623584 None
[DATA] 40 124.35 496.6384119177172 None
[DATA] 50 148.07 511.90495420092526 None
[DATA] 60 171.88 513.869951869093 None
[DATA] 70 195.63 484.13684222541946 None
[DATA] 80 219.34 488.3253728526217 None
[DATA] 90 251.41 513.0013953176588 None
[DATA] 100 276.02 492.23544201057973 None
[DATA] 200 335.67 506.29826569557173 None
[DATA] 300 402.06 536.1335547726668 None
[DATA] 400 460.63 547.3758944117822 None
[DATA] 500 528.7 534.7383993269615 None
[DATA] 600 588.57 527.0842077401298 None
[DATA] 700 656.32 535.7036177705347 None
[DATA] 800 716.32 549.2556494758456 None
[DATA] 900 777.26 544.3341989486694 None
[DATA] 1000 849.89 537.506560204399 None
[DATA] 1100 912.35 546.3474928271434 None
[DATA] 1200 981.45 557.3958453055367 None
[DATA] 1300 1040.66 563.8210283560718 None
[DATA] 1400 1109.14 543.2106562046719 None
[DATA] 1500 1169.49 544.441185979855 None
[DATA] 1600 1238.17 549.0559462870131 None
[DATA] 1700 1307.03 563.7523121698221 None
[DATA] 1800 1367.36 561.0275489356511 None
[DATA] 1900 1436.53 559.7850985148084 None
[DATA] 2000 1497.52 555.5942186535638 None
[DATA] 2100 1565.31 547.4129028184756 None
[DATA] 2200 1625.54 545.8132589061508 None
[DATA] 2300 1693.98 554.668461052669 None
[DATA] 2400 1754.77 579.640216437219 None
[DATA] 2500 1824.33 563.7439885835431 None
[DATA] 2600 1884.4 544.9823095377184 None
[DATA] 2700 1944.32 561.832723655715 None
[DATA] 2800 2013.2 574.1447258156245 None
[DATA] 2900 2076.13 560.8653650235735 None
[DATA] 3000 2143.16 568.9696007497705 None
[DATA] 3100 2203.04 565.314858024246 None
[DATA] 3200 2271.32 572.6520965410501 None
[DATA] 3300 2330.75 561.4886427665723 None
[DATA] 3400 2398.39 571.3641057180605 None
[DATA] 3500 2461.72 556.9215011643026 None
[DATA] 3600 2522.18 574.7825850313312 None
[DATA] 3700 2588.19 573.2848270291547 None
[DATA] 3800 2648.31 554.4761514444754 None
[DATA] 3900 2717.31 564.3363419093488 None
[DATA] 4000 2777.91 571.4007756388444 None
[DATA] 4100 2846.33 562.2411567486073 None
[DATA] 4200 2907.16 566.7267846271739 None
[DATA] 4300 2977.28 570.0656517691056 None
[DATA] 4400 3038.33 563.5419906074359 None
[DATA] 4500 3099.29 572.6154070760246 None
[DATA] 4600 3168.93 557.4170073873308 None
[DATA] 4700 3228.51 565.8529226656738 None
[DATA] 4800 3297.63 565.6082726348758 None
[DATA] 4900 3359.42 565.8303465363269 None
[DATA] 5000 3432.82 572.8736139861178 None
[DATA] 5100 3493.72 572.4197735835796 None
[DATA] 5200 3555.63 567.940796585794 None
[DATA] 5300 3624.78 580.6899785979556 None
[DATA] 5400 3684.6 558.6902853093973 None
[DATA] 5500 3752.52 564.6091913254234 None
[DATA] 5600 3812.22 552.8336824257927 None
[DATA] 5700 3881.83 569.175366962131 None
[DATA] 5800 3942.47 559.9596859345413 None
[DATA] 5900 4011.44 556.2779723137694 None
[DATA] 6000 4071.15 562.6417526702753 None
[DATA] 6100 4131.61 565.5877328276258 None
[DATA] 6200 4200.82 563.9525838417046 None
[DATA] 6300 4260.96 564.2812300236754 None
[DATA] 6400 4329.49 566.6428028582153 None
[DATA] 6500 4389.75 555.8585912738853 None
[DATA] 6600 4458.39 573.58072371569 None
[DATA] 6700 4519.03 574.484872318986 None
[DATA] 6800 4588.61 572.0410708838773 None
[DATA] 6900 4643.84 562.6583721675674 None
[DATA] 7000 4696.17 554.1448302786488 None
[DATA] 7100 4755.72 566.2680738124055 None
[DATA] 7200 4808.17 560.2378712646093 None
[DATA] 7300 4867.81 565.5371025198829 None
[DATA] 7400 4919.29 576.0295843358549 None
[DATA] 7500 4976.87 571.7422365075156 None
[DATA] 7600 5027.26 578.0729978565562 None
[DATA] 7700 5084.47 574.0059934861581 None
[DATA] 7800 5134.62 548.780014173659 None
[DATA] 7900 5185.1 569.0339635972307 None
[DATA] 8000 5242.24 566.4576118585555 None
[DATA] 8100 5292.78 566.6094628804897 None
[DATA] 8200 5350.77 551.4850309537283 None
[DATA] 8300 5403.23 561.286178260892 None
[DATA] 8400 5462.79 555.1202599294389 None
[DATA] 8500 5514.88 560.7022763053626 None
[DATA] 8600 5566.67 583.8663430717023 None
[DATA] 8700 5625.33 558.9033054190647 None
[DATA] 8800 5677.24 548.7274204090502 None
[DATA] 8900 5736.3 567.7705244620828 None
[DATA] 9000 5788.18 574.0510560508334 None
[DATA] 9100 5846.32 565.9274563899401 None
[DATA] 9200 5897.63 564.9387139108275 None
[DATA] 9300 5956.05 572.0053547973326 None
[DATA] 9400 6007.51 572.362319425822 None
[DATA] 9500 6058.49 568.8701136317986 None
