***********************************************************
[INFO] TRAINING ON RANDOM INSTANCES: KNAPSACK
[INFO] n_items: 20
[INFO] lambda_1: 1
[INFO] lambda_2: 5
[INFO] lambda_3: 5
[INFO] lambda_4: 5
[INFO] capacity_ratio: 0.500000
[INFO] seed: 1
***********************************************************
[INFO] TRAINING PARAMETERS
[INFO] algorithm: PPO
[INFO] learning_rate: 0.000100
[INFO] eps_clip: 0.100000
[INFO] entropy_value: 0.001000
[INFO] hidden_layer: 2
[INFO] k_epochs: 4
[INFO] batch_size: 128
[INFO] update_timestep: 2048
[INFO] latent_dim: 128
***********************************************************
***********************************************************
[INFO] NUMBER OF FEATURES
[INFO] n_feat: 9
***********************************************************
[BEST-RANDOM] 261.1367150036098
[AVG-RANDOM] -3.4627116471052
[WORST-RANDOM] -299.3139930637263
[GREEDY-MEAN] 154.14195189676855
[GREEDY-DEVIATION] 181.18130883055719
[GREEDY-SKEWNESS] 120.49739595815927
[GREEDY-KURTOSIS] 34.16193280147095
[INFO] iter time avg_reward_learning loss
[DATA] 0 6.1 0.7039205554629837 None
[DATA] 10 12.97 -32.489563466130306 None
[DATA] 20 19.97 -21.297923626346947 None
[DATA] 30 28.53 -19.174223160566395 None
[DATA] 40 37.28 -16.549653426010224 None
[DATA] 50 45.7 -9.360257388428352 None
[DATA] 60 53.67 -32.67903937615295 None
[DATA] 70 61.64 -8.49331900105516 None
[DATA] 80 69.59 -17.744604535101566 None
[DATA] 90 77.56 -17.501333854609694 None
[DATA] 100 85.52 -16.509772828937006 None
[DATA] 200 102.25 0.8388416206294832 None
[DATA] 300 118.88 -36.48007743499533 None
[DATA] 400 135.57 -17.976761911606737 None
[DATA] 500 152.23 25.68641753386745 None
[DATA] 600 169.26 -16.27850392200936 None
[DATA] 700 185.98 -3.0828053804804005 None
[DATA] 800 200.62 15.715526454908051 None
[DATA] 900 214.7 -2.103403548353321 None
[DATA] 1000 228.77 9.766622318814491 None
[DATA] 1100 242.92 22.147134223653623 None
[DATA] 1200 256.92 31.258130926695713 None
[DATA] 1300 271.34 9.831144159731066 None
[DATA] 1400 285.78 6.334136627454971 None
[DATA] 1500 299.65 18.51190339106937 None
[DATA] 1600 313.7 27.09761239134963 None
[DATA] 1700 327.86 17.71971992025973 None
[DATA] 1800 342.39 48.878891168425156 None
[DATA] 1900 357.16 25.846031204060022 None
[DATA] 2000 371.82 28.080167826629772 None
[DATA] 2100 386.06 22.06337574342391 None
[DATA] 2200 399.59 28.281961428052952 None
[DATA] 2300 412.84 17.338741317675602 None
[DATA] 2400 425.98 28.77113621203423 None
[DATA] 2500 440.4 15.941493738140998 None
[DATA] 2600 454.83 29.655143175136477 None
[DATA] 2700 468.89 20.243328607057844 None
[DATA] 2800 482.98 44.091716145541795 None
[DATA] 2900 497.4 33.54547544708322 None
[DATA] 3000 511.79 18.994611015118625 None
[DATA] 3100 526.25 18.528460399626805 None
[DATA] 3200 540.56 46.390569981943344 None
[DATA] 3300 554.9 26.654244862359363 None
[DATA] 3400 569.12 42.513819110317584 None
[DATA] 3500 583.41 36.78857522721441 None
[DATA] 3600 597.69 47.31998558393048 None
[DATA] 3700 612.26 57.27145137567068 None
[DATA] 3800 626.53 41.80601819779221 None
[DATA] 3900 641.07 26.589134571506808 None
[DATA] 4000 655.43 33.522708917287 None
[DATA] 4100 669.76 12.622771912788503 None
[DATA] 4200 683.84 29.095179243045393 None
[DATA] 4300 697.17 37.19414125823384 None
[DATA] 4400 708.8 66.12728318542293 None
[DATA] 4500 722.02 27.873420119247054 None
[DATA] 4600 735.18 40.42355249856333 None
[DATA] 4700 748.41 54.3756279544416 None
[DATA] 4800 761.68 64.46220187663332 None
[DATA] 4900 774.95 25.47322375877131 None
[DATA] 5000 789.37 50.47589194161284 None
[DATA] 5100 804.16 58.23535421812953 None
[DATA] 5200 818.49 36.87276505606791 None
[DATA] 5300 832.78 34.39742080262135 None
[DATA] 5400 846.1 36.04548234819792 None
[DATA] 5500 860.45 39.66915067687567 None
[DATA] 5600 875.21 58.65300745368142 None
[DATA] 5700 889.93 28.664706492939423 None
